"CO001","CO002","CO003","CO004","CO005","CO006","CO007","CO008","CO009","CO010","CO011","CO012","CO013","CO014","CO015","CO016","CO017","CO018","CO019","CO020","CO021","CO022","CO023","CO024","CO025","CO026","CO027","CO028","CO029","CO030","CO031","CO032","CO033","CO034","CO035","CO036","CO037","CO038","CO039","CO040","CO041","CO042","CO043","CO044","CO045","CO046","CO047","CO048","CO049","CO050","CO051","CO052","CO053","ENTHA","TEMPE","Points:0","Points:1","Points:2"
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.5157e-136,-1.1141e-121,1.3924e-129,-1.4303e-97,5.8954e-115,3.5256e-132,7.9942e-129,7.1753e-76,-1.5195e-97,-8.3077e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,5.9866e-129,2.5678e-131,1.7277e-128,-1.3050e-96,3.8350e-01,1.6617e-155,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.001204,0.00053691,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.5485e-136,-1.1141e-121,1.4232e-129,-1.4303e-97,5.8954e-115,3.6006e-132,8.1722e-129,7.1753e-76,-1.5195e-97,-8.2973e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.1187e-129,2.6242e-131,1.7658e-128,-1.3050e-96,3.8350e-01,1.7007e-155,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.001204,0,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.6105e-141,-1.1141e-121,1.4656e-134,-1.4303e-97,5.8954e-115,3.7881e-137,8.3758e-134,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.3035e-134,2.7103e-136,1.8202e-133,-1.3050e-96,3.8350e-01,1.6887e-160,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00053512,0.0012081,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,-1.2642e-144,-1.1141e-121,5.0692e-138,-1.4303e-97,5.8954e-115,1.3310e-140,2.8873e-137,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,2.1808e-137,9.3933e-140,6.3001e-137,-1.3050e-96,3.8350e-01,5.6919e-164,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0,0.0012081,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,-1.1489e-144,-1.1141e-121,6.1241e-138,-1.4303e-97,5.8954e-115,1.6011e-140,3.4917e-137,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,2.6345e-137,1.1341e-139,7.6095e-137,-1.3050e-96,3.8350e-01,6.9299e-164,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0,0,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.5939e-137,-1.1141e-121,1.4618e-130,-1.4303e-97,5.8954e-115,3.7136e-133,8.3860e-130,7.1753e-76,-1.5195e-97,-8.7424e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.2851e-130,2.6969e-132,1.8140e-129,-1.3050e-96,3.8350e-01,1.7345e-156,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.0010702,0.00053691,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.6350e-137,-1.1141e-121,1.5000e-130,-1.4303e-97,5.8954e-115,3.8078e-133,8.6072e-130,7.1753e-76,-1.5195e-97,-8.7411e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.4496e-130,2.7672e-132,1.8614e-129,-1.3050e-96,3.8350e-01,1.7823e-156,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.0010702,0,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.6459e-142,-1.1141e-121,1.5102e-135,-1.4303e-97,5.8954e-115,3.9166e-138,8.6244e-135,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.4957e-135,2.7940e-137,1.8759e-134,-1.3050e-96,3.8350e-01,1.7303e-161,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00040134,0.0012081,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,-1.2443e-144,-1.1141e-121,5.2517e-138,-1.4303e-97,5.8954e-115,1.3776e-140,2.9919e-137,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,2.2593e-137,9.7301e-140,6.5266e-137,-1.3050e-96,3.8350e-01,5.9070e-164,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0,0.0010738,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,4.9102e-145,-1.1141e-121,2.1000e-137,-1.4303e-97,5.8954e-115,5.4641e-140,1.1985e-136,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,9.0328e-137,3.8864e-139,2.6087e-136,-1.3050e-96,3.8350e-01,2.3945e-163,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00013378,0,0
