mechanism,threads,package,points,read_time[s],calc_time[s],write_time[s]
gri30.yaml,4,5,500,0.0188643,0.280947,0.00956791
gri30.yaml,4,10,500,0.0165939,0.183165,0.00958674
gri30.yaml,4,15,500,0.00959255,0.154758,0.0104923
gri30.yaml,4,20,500,0.0196909,0.14517,0.00950387
gri30.yaml,4,25,500,0.00712548,0.155101,0.00979463
gri30.yaml,4,30,500,0.012079,0.126836,0.00946422
gri30.yaml,4,35,500,0.0061848,0.123387,0.00939207
gri30.yaml,4,40,500,0.00861628,0.118982,0.0277653
gri30.yaml,4,45,500,0.0110104,0.152102,0.0263198
gri30.yaml,4,50,500,0.0105848,0.128885,0.0151492
gri30.yaml,4,55,500,0.00712035,0.116693,0.0095482
gri30.yaml,4,60,500,0.00614622,0.108347,0.0094376
gri30.yaml,4,65,500,0.00616145,0.109796,0.0121147
gri30.yaml,4,70,500,0.00980106,0.130919,0.0120415
gri30.yaml,4,75,500,0.00618639,0.119537,0.0251827
gri30.yaml,4,80,500,0.012488,0.149312,0.0121665
gri30.yaml,4,85,500,0.0183468,0.142645,0.00975675
gri30.yaml,4,90,500,0.0164375,0.141423,0.0278207
gri30.yaml,4,95,500,0.00974498,0.126943,0.00967518
gri30.yaml,4,100,500,0.0192003,0.13504,0.00958539
mechanism/ESTiMatE-Mech_04042022.xml,4,5,500,0.0102826,15.8249,0.0474159
mechanism/ESTiMatE-Mech_04042022.xml,4,10,500,0.00645425,15.5219,0.0375006
mechanism/ESTiMatE-Mech_04042022.xml,4,15,500,0.0191274,15.8626,0.0509297
mechanism/ESTiMatE-Mech_04042022.xml,4,20,500,0.0188067,16.2126,0.0286752
mechanism/ESTiMatE-Mech_04042022.xml,4,25,500,0.0209392,15.5066,0.0487666
mechanism/ESTiMatE-Mech_04042022.xml,4,30,500,0.00629776,16.3045,0.0286061
mechanism/ESTiMatE-Mech_04042022.xml,4,35,500,0.00636224,16.4971,0.0524188
mechanism/ESTiMatE-Mech_04042022.xml,4,40,500,0.0178201,16.0906,0.0505026
mechanism/ESTiMatE-Mech_04042022.xml,4,45,500,0.0183279,16.1783,0.0355754
mechanism/ESTiMatE-Mech_04042022.xml,4,50,500,0.0184694,17.703,0.0329376
mechanism/ESTiMatE-Mech_04042022.xml,4,55,500,0.0189337,19.0264,0.031698
mechanism/ESTiMatE-Mech_04042022.xml,4,60,500,0.0238486,15.9518,0.0315625
mechanism/ESTiMatE-Mech_04042022.xml,4,65,500,0.00955418,15.5032,0.0521514
mechanism/ESTiMatE-Mech_04042022.xml,4,70,500,0.00884156,17.1623,0.0494874
mechanism/ESTiMatE-Mech_04042022.xml,4,75,500,0.0158737,17.2892,0.0509198
mechanism/ESTiMatE-Mech_04042022.xml,4,80,500,0.0170794,18.4809,0.0503035
mechanism/ESTiMatE-Mech_04042022.xml,4,85,500,0.0169531,18.8455,0.0286189
mechanism/ESTiMatE-Mech_04042022.xml,4,90,500,0.0162678,20.1484,0.0321238
mechanism/ESTiMatE-Mech_04042022.xml,4,95,500,0.0187542,21.4663,0.04937
mechanism/ESTiMatE-Mech_04042022.xml,4,100,500,0.0172671,22.433,0.0316598
mechanism/h2_li_2004.xml,4,5,500,0.00353791,0.591953,0.00727863
mechanism/h2_li_2004.xml,4,10,500,0.000981503,0.579073,0.00207329
mechanism/h2_li_2004.xml,4,15,500,0.00178633,0.578344,0.0020674
mechanism/h2_li_2004.xml,4,20,500,0.000926054,0.601151,0.00210072
mechanism/h2_li_2004.xml,4,25,500,0.0023767,0.562835,0.00246521
mechanism/h2_li_2004.xml,4,30,500,0.00128104,0.604848,0.00213136
mechanism/h2_li_2004.xml,4,35,500,0.00116318,0.614286,0.00733064
mechanism/h2_li_2004.xml,4,40,500,0.000945335,0.59124,0.00208423
mechanism/h2_li_2004.xml,4,45,500,0.0017889,0.607052,0.00379109
mechanism/h2_li_2004.xml,4,50,500,0.00157085,0.670524,0.0027234
mechanism/h2_li_2004.xml,4,55,500,0.00128115,0.713581,0.00277342
mechanism/h2_li_2004.xml,4,60,500,0.00176872,0.609896,0.00269601
mechanism/h2_li_2004.xml,4,65,500,0.00349217,0.581116,0.00274446
mechanism/h2_li_2004.xml,4,70,500,0.0035449,0.629143,0.00283183
mechanism/h2_li_2004.xml,4,75,500,0.000931472,0.629626,0.00215244
mechanism/h2_li_2004.xml,4,80,500,0.00100469,0.675809,0.00215047
mechanism/h2_li_2004.xml,4,85,500,0.00100709,0.708046,0.0100565
mechanism/h2_li_2004.xml,4,90,500,0.00179917,0.753983,0.00220087
mechanism/h2_li_2004.xml,4,95,500,0.000998948,0.804893,0.00726417
mechanism/h2_li_2004.xml,4,100,500,0.00326787,0.855852,0.00364742
