threads,package,points,read_time[s],calc_time[s],write_time[s]
1,5,55076,0.670609,563.37,0.949715
1,10,55076,0.653276,563.092,0.944177
1,15,55076,0.655501,562.006,0.941386
1,20,55076,0.648578,561.914,0.945217
1,25,55076,0.645982,561.662,0.94927
1,30,55076,0.646405,565.761,0.941479
1,35,55076,0.64499,565.086,0.948913
1,40,55076,0.66255,564.333,0.976821
1,45,55076,0.645749,562.341,0.945189
1,50,55076,0.648445,560.993,0.945457
1,55,55076,0.647901,565.101,0.947898
1,60,55076,0.648666,563.53,0.941718
1,65,55076,0.646159,564.706,0.945427
1,70,55076,0.655639,563.747,0.949953
1,75,55076,0.651529,564.465,0.947594
1,80,55076,0.656455,561.907,0.943224
1,85,55076,0.645723,567.374,0.946524
1,90,55076,0.664307,562.094,0.94102
1,95,55076,0.646619,560.587,0.949188
1,100,55076,0.648232,563.976,0.947904
2,5,55076,0.654627,309.175,0.952308
2,10,55076,0.650569,310.688,0.948352
2,15,55076,0.648653,309.35,0.944231
2,20,55076,0.652854,312.403,0.945959
2,25,55076,0.648929,308.308,0.947557
2,30,55076,0.65108,314.282,0.952355
2,35,55076,0.652678,309.097,0.947695
2,40,55076,0.648294,309.746,0.952156
2,45,55076,0.648358,311.21,0.948195
2,50,55076,0.650935,311.043,0.95031
2,55,55076,0.64539,307.911,0.942392
2,60,55076,0.651084,309.03,0.947837
2,65,55076,0.670207,308.691,0.951325
2,70,55076,0.645551,309.021,0.93963
2,75,55076,0.649679,309.691,0.942692
2,80,55076,0.644277,308.164,0.948142
2,85,55076,0.645761,308.385,0.947768
2,90,55076,0.651361,307.738,0.945384
2,95,55076,0.652906,309.013,0.94748
2,100,55076,0.645629,309.028,0.942426
4,5,55076,0.644729,176.103,0.947199
4,10,55076,0.643652,178.066,0.943658
4,15,55076,0.649082,176.518,0.947846
4,20,55076,0.649124,176.808,0.953548
4,25,55076,0.644452,175.649,0.953837
4,30,55076,0.64568,175.724,0.948734
4,35,55076,0.651367,176.075,0.948839
4,40,55076,0.648996,178.178,0.945139
4,45,55076,0.65071,175.282,0.948714
4,50,55076,0.650573,175.817,0.945372
4,55,55076,0.646794,176.261,0.942169
4,60,55076,0.645229,178.105,0.947161
4,65,55076,0.650793,178.886,0.947223
4,70,55076,0.648871,177,0.94469
4,75,55076,0.648753,176.111,0.943764
4,80,55076,0.646587,178.208,0.942764
4,85,55076,0.642139,177.374,0.946448
4,90,55076,0.653675,177.493,0.957461
4,95,55076,0.652206,178.666,0.942805
4,100,55076,0.656413,176.288,0.947648
8,5,55076,0.649455,107.15,0.944411
8,10,55076,0.64616,108.749,0.944028
8,15,55076,0.648614,107.176,0.949134
8,20,55076,0.644574,107.386,0.949423
8,25,55076,0.647023,109.544,0.949946
8,30,55076,0.650528,109.597,0.942945
8,35,55076,0.649771,108.617,0.946498
8,40,55076,0.648224,109.292,0.943428
8,45,55076,0.649564,108.55,1.09211
8,50,55076,0.646842,108.601,0.946415
8,55,55076,0.647759,109.89,0.9504
8,60,55076,0.648913,108.698,0.944405
8,65,55076,0.646711,108.706,0.948665
8,70,55076,0.647647,108.365,0.948547
8,75,55076,0.646016,108.27,0.950192
8,80,55076,0.643722,107.899,0.94924
8,85,55076,0.64678,109.164,0.942338
8,90,55076,0.650104,108.346,0.944678
8,95,55076,0.646739,108.057,0.951437
8,100,55076,0.647145,109.731,0.944532
16,5,55076,0.645378,101.323,0.955591
16,10,55076,0.674833,100.977,0.965141
16,15,55076,0.653844,101.917,0.945068
16,20,55076,0.771453,100.629,0.953111
16,25,55076,0.645407,102.203,0.942582
16,30,55076,0.647573,99.4128,0.949368
16,35,55076,0.648718,99.5599,0.94905
16,40,55076,0.647063,101.24,0.950134
16,45,55076,0.646782,101.812,0.95223
16,50,55076,0.662193,99.4155,0.948341
16,55,55076,0.642456,100.306,0.943886
16,60,55076,0.670756,101.487,0.949512
16,65,55076,0.648421,100.937,0.94647
16,70,55076,0.647217,99.4804,0.948687
16,75,55076,0.644733,101.155,0.949006
16,80,55076,0.650179,101.123,0.948842
16,85,55076,0.646724,100.188,0.947334
16,90,55076,0.645315,101.077,0.94245
16,95,55076,0.649644,100.827,0.948058
16,100,55076,0.654613,100.129,0.946504
32,5,55076,0.646488,111.402,0.950383
32,10,55076,0.654058,112.819,0.944399
32,15,55076,0.661948,112.261,0.948075
32,20,55076,0.646855,113.489,0.949024
32,25,55076,0.647385,113.373,0.945479
32,30,55076,0.647454,112.585,0.961681
32,35,55076,0.647278,113.169,0.949861
32,40,55076,0.648648,113.377,0.944507
32,45,55076,0.64816,112.181,0.945919
32,50,55076,0.64576,112.268,0.948811
32,55,55076,0.648707,111.233,0.9449
32,60,55076,0.645224,111.811,0.945731
32,65,55076,0.649596,113.871,0.955085
32,70,55076,0.658072,112.909,0.949039
32,75,55076,0.645183,111.636,0.950688
32,80,55076,0.649529,112.754,0.948711
32,85,55076,0.646358,113.022,0.955529
32,90,55076,0.651376,112.456,0.943477
32,95,55076,0.646021,112.975,0.94898
32,100,55076,0.651154,112.316,0.944377
