threads,package,points,read_time[s],calc_time[s],write_time[s]
16,100,55076,0.655146,20.9007,0.955735
16,200,55076,0.651961,21.0233,0.944586
16,300,55076,0.651402,21.6669,0.952729
16,400,55076,0.649664,23.1108,0.943289
16,500,55076,0.654367,22.3397,0.944039
16,600,55076,0.647453,24.1256,0.950975
16,700,55076,0.653085,23.9036,0.950834
16,800,55076,0.654438,24.3001,0.94636
16,900,55076,0.650103,25.5241,0.946315
16,1000,55076,0.651989,25.2684,0.947133
16,1100,55076,0.649143,27.0556,0.942865
16,1200,55076,0.645227,27.4891,0.941706
16,1300,55076,0.670997,30.54,0.946057
16,1400,55076,0.650655,36.3104,0.945039
16,1500,55076,0.665461,31.3151,0.940872
16,1600,55076,0.646251,35.7487,0.94854
16,1700,55076,0.653004,39.2866,0.947243
16,1800,55076,0.66112,40.7467,0.949875
16,1900,55076,0.649837,36.122,0.96255
16,2000,55076,0.651221,37.3361,0.946961
