threads,package,points,read_time[s],calc_time[s],write_time[s]
1,5,55076,0.650213,567.173,0.947307
1,10,55076,0.652268,573.815,0.940192
1,15,55076,0.645684,582.736,0.942887
1,20,55076,0.64523,596.99,0.958328
1,25,55076,0.641649,605.157,0.942448
1,30,55076,0.64341,613.34,0.945694
1,35,55076,0.644651,616.603,0.944716
1,40,55076,0.643066,622.731,0.948309
1,45,55076,0.645117,625.57,0.942638
1,50,55076,0.663968,632.375,0.975879
1,55,55076,0.646583,632.693,0.950495
1,60,55076,0.669796,640.673,0.969599
1,65,55076,0.644331,650.97,0.942684
1,70,55076,0.641109,647.813,0.944117
1,75,55076,0.642572,650.029,0.943053
1,80,55076,0.642025,653.808,0.9433
1,85,55076,0.643043,658.296,0.994477
1,90,55076,0.702127,662.295,0.994822
1,95,55076,0.64468,660.346,0.985811
1,100,55076,0.642723,661.828,0.946536
2,5,55076,0.645441,317.949,0.948942
2,10,55076,0.645027,329.585,0.943274
2,15,55076,0.641963,340.511,0.971333
2,20,55076,0.672769,343.707,0.949493
2,25,55076,0.665741,346.071,0.943041
2,30,55076,0.647769,351.699,0.957144
2,35,55076,0.65123,353.399,0.966533
2,40,55076,0.679525,354.872,0.949342
2,45,55076,0.643496,354.895,0.945029
2,50,55076,0.646165,359.724,0.971079
2,55,55076,0.668312,359.017,0.946991
2,60,55076,0.646234,362.002,0.976736
2,65,55076,0.665832,364.672,0.949829
2,70,55076,0.645933,366.346,0.982819
2,75,55076,0.643304,368.244,0.986161
2,80,55076,0.640064,368.929,0.949495
2,85,55076,0.640523,368.345,1.00835
2,90,55076,0.650776,368.233,0.994801
2,95,55076,0.640372,377.338,1.02897
2,100,55076,0.689275,405.964,1.05462
4,5,55076,0.678191,211.27,0.984047
4,10,55076,0.68768,222.505,0.983746
4,15,55076,0.667123,226.099,1.12904
4,20,55076,0.772266,231.591,1.16422
4,25,55076,0.67673,230.837,0.983569
4,30,55076,0.688538,226.909,0.985255
4,35,55076,0.669615,226.735,0.999409
4,40,55076,0.687025,217.865,0.973071
4,45,55076,0.64626,221.138,0.998893
4,50,55076,0.688211,228.322,0.984118
4,55,55076,0.682801,227.248,0.981213
4,60,55076,0.68412,238.661,1.23277
4,65,55076,0.708211,240.814,1.01681
4,70,55076,0.689404,238.802,1.03792
4,75,55076,0.712156,238.696,1.13352
4,80,55076,0.688901,244.733,1.04686
4,85,55076,0.702887,245.468,1.20333
4,90,55076,0.763517,242.745,1.04872
4,95,55076,0.679892,240.68,1.04328
4,100,55076,0.777897,246.31,1.21583
8,5,55076,0.727056,129.26,0.951836
8,10,55076,0.644779,151.805,0.951538
8,15,55076,0.653948,153.267,0.949982
8,20,55076,0.651926,148.03,0.958183
8,25,55076,0.652804,148.768,0.951962
8,30,55076,0.650505,148.336,0.953514
8,35,55076,0.652434,146.421,0.966745
8,40,55076,0.648877,145.847,0.969841
8,45,55076,0.652053,144.504,0.944937
8,50,55076,0.664507,146.586,0.976242
8,55,55076,0.652582,144.185,0.948243
8,60,55076,0.651698,150.933,0.980091
8,65,55076,0.675302,151.216,0.944819
8,70,55076,0.641208,150.961,0.985227
8,75,55076,0.64915,149.563,0.991077
8,80,55076,0.67315,150.665,1.10071
8,85,55076,0.650325,151.079,0.944971
8,90,55076,0.656417,150.556,0.945824
8,95,55076,0.648933,149.196,1.00053
8,100,55076,0.64486,147.214,1.00329
16,5,55076,0.650519,117.247,0.951706
16,10,55076,0.651945,136.774,0.971683
16,15,55076,0.657147,144.908,0.961162
16,20,55076,0.650523,144.643,0.955943
16,25,55076,0.641138,153.286,0.957171
16,30,55076,0.653064,157.381,0.963512
16,35,55076,0.657694,164.184,0.974247
16,40,55076,0.6496,160.024,0.972581
16,45,55076,0.646534,170.487,0.97106
16,50,55076,0.645511,176.497,1.01959
16,55,55076,0.648718,189.353,0.981952
16,60,55076,0.668614,201.977,0.979179
16,65,55076,0.642721,203.867,0.951834
16,70,55076,0.650123,205.149,0.986388
16,75,55076,0.655968,207.038,0.957624
16,80,55076,0.646877,223.827,0.991004
16,85,55076,0.677444,220.143,0.99375
16,90,55076,0.668813,227.164,1.04129
16,95,55076,0.669471,222.861,1.0004
16,100,55076,0.665299,230.162,1.00447
32,5,55076,0.649036,127.15,0.950119
32,10,55076,0.651249,148.827,0.955664
32,15,55076,0.644552,158.895,0.956435
32,20,55076,0.64699,166.8,0.957502
32,25,55076,0.647415,176.34,0.955322
32,30,55076,0.644225,182.954,0.949982
32,35,55076,0.645684,182.119,0.950018
32,40,55076,0.64634,194.471,0.973235
32,45,55076,0.657245,195.048,0.953176
32,50,55076,0.649981,204.459,0.971473
32,55,55076,0.665576,209.107,0.97902
32,60,55076,0.681072,220.386,0.98279
32,65,55076,0.643504,225.33,0.986641
32,70,55076,0.641026,229.512,0.988311
32,75,55076,0.655013,229.691,0.988643
32,80,55076,0.650305,230.113,0.988346
32,85,55076,0.664472,230.885,0.998037
32,90,55076,0.662563,234.415,1.00084
32,95,55076,0.647466,244.831,1.00328
32,100,55076,0.652021,235.033,1.00691
