threads,package,points,read_time[s],calc_time[s],write_time[s]
16,50,55076,0.653416,21.763,0.952334
16,100,55076,0.652779,22.3791,0.943583
16,150,55076,0.707748,23.7141,0.947765
16,200,55076,0.652538,25.4708,0.948103
16,250,55076,0.647878,23.5901,0.946919
16,300,55076,0.666492,29.0988,0.986487
16,350,55076,0.654068,29.0586,0.951175
16,400,55076,0.657104,28.8806,0.940624
16,450,55076,0.646998,31.0163,0.943468
16,500,55076,0.648105,31.1865,0.977069
16,550,55076,0.652888,32.7156,0.94933
16,600,55076,0.655387,31.4594,0.944919
16,650,55076,0.651048,31.1506,0.946754
16,700,55076,0.647957,32.3916,0.945832
16,750,55076,0.651303,35.2543,0.955497
16,800,55076,0.647662,32.0716,0.955119
16,850,55076,0.681134,38.1318,0.948362
16,900,55076,0.653389,36.5395,0.948211
16,950,55076,0.660882,39.41,0.948162
16,1000,55076,0.654643,30.6285,0.94279
16,50,55076,0.690276,21.1184,0.94837
16,100,55076,0.651358,20.8728,0.946355
16,150,55076,0.651818,21.1129,0.966065
16,200,55076,0.648656,21.0389,0.958603
16,250,55076,0.662047,21.2821,0.945434
16,300,55076,0.65469,21.5512,0.946428
16,350,55076,0.651428,22.1682,1.15759
16,400,55076,0.656828,22.9115,0.943263
16,450,55076,0.663981,22.2649,0.94751
16,500,55076,0.654152,22.6798,0.941938
16,550,55076,0.656324,23.0323,0.951283
16,600,55076,0.651508,23.8947,0.947736
16,650,55076,0.648596,23.3606,0.944981
16,700,55076,0.648346,23.561,0.952432
16,750,55076,0.678822,22.965,0.949379
16,800,55076,0.649602,24.3799,0.944232
16,850,55076,0.651556,23.903,0.944036
16,900,55076,0.649656,25.5861,0.951647
16,950,55076,0.658782,24.6394,0.947229
16,1000,55076,0.649057,24.8539,0.944631
16,50,55076,0.668682,21.0786,0.94409
16,100,55076,0.652801,20.8249,0.946861
16,150,55076,0.651892,21.2018,0.944762
16,200,55076,0.645764,21.1565,0.942101
16,250,55076,0.645971,21.7564,0.947354
16,300,55076,0.670959,21.5679,0.948933
16,350,55076,0.655316,21.8951,0.945857
16,400,55076,0.648965,22.7414,0.952815
16,450,55076,0.654239,22.4428,0.947783
16,500,55076,0.647722,22.4623,0.945782
16,550,55076,0.667341,23.1984,0.94778
16,600,55076,0.648705,23.7881,0.945564
16,650,55076,0.653789,23.1951,0.946287
16,700,55076,0.655554,23.6071,0.940818
16,750,55076,0.657979,22.4904,0.951687
16,800,55076,0.650462,24.4588,0.947376
16,850,55076,0.64906,23.8326,1.00643
16,900,55076,0.654238,25.6433,0.945139
16,950,55076,0.647602,25.1917,0.951103
16,1000,55076,0.654377,25.2146,0.950429
