mechanism,threads,package,points,read_time[s],calc_time[s],write_time[s]
gri30.yaml,1,65,2000,0.0575251,1.01981,0.0360825
gri30.yaml,2,65,2000,0.0422215,0.568028,0.035939
gri30.yaml,4,65,2000,0.0412268,0.321076,0.0378126
gri30.yaml,8,65,2000,0.038812,0.233549,0.0383484
gri30.yaml,14,65,2000,0.0513665,0.188645,0.0441224
gri30.yaml,28,65,2000,0.0263469,0.213743,0.0377836
mechanism/ESTiMatE-Mech_04042022.xml,1,65,2000,0.0321192,357.968,0.12864
mechanism/ESTiMatE-Mech_04042022.xml,2,65,2000,0.0261997,178.984,0.143641
mechanism/ESTiMatE-Mech_04042022.xml,4,65,2000,0.0321998,99.3897,0.133292
mechanism/ESTiMatE-Mech_04042022.xml,8,65,2000,0.0441642,58.5081,0.154059
mechanism/ESTiMatE-Mech_04042022.xml,14,65,2000,0.0257469,46.8766,0.134763
mechanism/ESTiMatE-Mech_04042022.xml,28,65,2000,0.0413249,43.3511,0.11541
mechanism/h2_li_2004.xml,1,65,2000,0.0210432,7.81095,0.0074616
mechanism/h2_li_2004.xml,2,65,2000,0.00361291,4.17393,0.00755523
mechanism/h2_li_2004.xml,4,65,2000,0.00363096,2.20656,0.00785534
mechanism/h2_li_2004.xml,8,65,2000,0.00749146,1.13764,0.0238968
mechanism/h2_li_2004.xml,14,65,2000,0.00797809,0.829766,0.00831964
mechanism/h2_li_2004.xml,28,65,2000,0.00865469,0.848619,0.0312878
